spectrum_id,inchikey,declared_name,spectral_source,ionization_mode
MassBank:4A4C768A:558,4A4C768A5D23F4-572AF9E2AA-0,Unknown compound 4A4C76,MassBank,positive
MassBank:F2ADCFCD:694,F2ADCFCD22AEB4-BE8A6232EF-B,Synthanol 30,MassBank,negative
MoNA:F2ADCFCD:966,F2ADCFCD22AEB4-BE8A6232EF-B,Unknown compound F2ADCF,MoNA,positive
MassBank:52BBEFA2:22,52BBEFA2EE8B98-0FCCB2964F-7,Synthanol 2,MassBank,negative
MassBank:276ACAA9:404,276ACAA9544B73-8562C19741-0,Synthanol 54,MassBank,negative
MoNA:3E396B83:660,3E396B83665CD9-E099E39E1B-6,Synthanol 33,MoNA,positive
GNPS:3E396B83:467,3E396B83665CD9-E099E39E1B-6,Synthanol 33,GNPS,negative
MoNA:B6982DF5:905,B6982DF5339685-62446EEB14-5,Synthanol 47,MoNA,positive
MassBank:B6982DF5:736,B6982DF5339685-62446EEB14-5,Synthanol 47 hydrate,MassBank,negative
MoNA:BE7310FF:395,BE7310FFD36D60-B57930E486-7,Synthanol 44,MoNA,negative
MoNA:6F552F86:267,6F552F8676B36C-42A3BBA295-8,Synthanol 35,MoNA,positive
MassBank:2DD7F17E:395,2DD7F17EB266C7-6FB61F755A-5,Synthanol 20,MassBank,positive
MoNA:2DD7F17E:743,2DD7F17EB266C7-6FB61F755A-5,Synthanol 20 hydrate,MoNA,negative
GNPS:0391A59D:99,0391A59DCA9603-437F16636C-B,Synthanol 19,GNPS,negative
MassBank:0391A59D:276,0391A59DCA9603-437F16636C-B,Synthanol 19,MassBank,negative
GNPS:ACBADFC1:472,ACBADFC1F52E5C-F288C389B5-C,Synthanol 39,GNPS,positive
GNPS:E7BF6984:86,E7BF69844F53F5-5A3C167B6D-4,Synthanol 21,GNPS,positive
MoNA:E7BF6984:482,E7BF69844F53F5-5A3C167B6D-4,Synthanol 21 hydrate,MoNA,negative
MassBank:46BE7486:727,46BE7486ACAF93-93CDDAB5AF-1,Synthanol 12,MassBank,negative
GNPS:46BE7486:730,46BE7486ACAF93-93CDDAB5AF-1,Synthanol 12 hydrate,GNPS,positive
MoNA:1FD4988D:643,1FD4988D2DF83E-53E41EF25D-A,Synthanol 26,MoNA,negative
MoNA:8FCE6957:333,8FCE6957628A17-413B9E8B5D-2,Synthanol 22,MoNA,positive
MassBank:8FCE6957:381,8FCE6957628A17-413B9E8B5D-2,Unknown compound 8FCE69,MassBank,negative
MoNA:428801EA:710,428801EA36BE15-CA65A775E0-5,Synthanol 18 hydrate,MoNA,positive
MassBank:428801EA:909,428801EA36BE15-CA65A775E0-5,Synthanol 18 hydrate,MassBank,positive
MoNA:35621DB5:500,35621DB52E9CF5-98649551DF-2,Synthanol 7,MoNA,positive
MassBank:B10600C4:154,B10600C4DB9045-765DBE8412-C,Synthanol 24,MassBank,positive
GNPS:DCADBFF6:369,DCADBFF68A0950-6B5CB915D3-5,Synthanol 46 hydrate,GNPS,negative
MoNA:DCADBFF6:763,DCADBFF68A0950-6B5CB915D3-5,Synthanol 46 hydrate,MoNA,negative
